ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6774,0.01,0,0,0,0.02
9870,0.24,0,0,0.02,0.25
13443,0,0,0.02,0,0.02
2737,0.58,0.03,0,0.01,0.62
13421,0.05,0,0,0,0.05
3594,0.05,0.03,0,0.01,0.09
8387,0,0,0.09,0,0.09
16063,0.14,0,0,0.01,0.15
9738,0,0.01,0,0,0.01
14417,0.08,0.02,0,0,0.1
17240,0.24,0.18,0.91,0.06,1.39
6547,0,0,0.04,0,0.04
16061,0.12,0.01,0.02,0.01,0.15
10390,0.22,0.17,0,0.06,0.46
4976,0.24,0,0.01,0.02,0.26
18553,0.63,0.15,0,0.01,0.79
2806,0.15,0.04,0,0.01,0.21
18126,0.79,0.68,0.01,0.13,1.61
5657,0.12,0.03,0,0,0.15
19389,0,0,0.36,0,0.36
15663,0.1,0.01,0,0.01,0.13
17515,2.96,4.88,0.81,2.12,10.77
16547,0,0.04,0,0.01,0.05
10654,0.25,0.07,0,0.01,0.33
10634,0.11,0.09,0,0.03,0.23
11339,0.65,0.44,0,0.08,1.17
2157,0,0,0.15,0.01,0.16
7423,0.07,0.03,0,0.01,0.11
6043,0.04,0.03,0,0.01,0.09
10721,0.05,0.03,0,0.01,0.08
1717,0,0.03,0.18,0.01,0.23
943,3.18,1.24,0.94,0.09,5.45
9542,0,0.01,0,0,0.01
1443,0.22,0.13,0.04,0.04,0.42
17516,0,0.01,0,0,0.02
2456,0,0,0.02,0,0.02
2553,0.11,0,0,0.01,0.12
6553,0.02,0.09,0,0.02,0.13
15580,0.44,0.11,0,0.02,0.57
7512,0.09,0.06,0,0.01,0.17
19216,0.05,0.03,0,0.01,0.09
12607,0.41,0.02,0.03,0.04,0.5
14284,0,0,0.03,0,0.03
5171,1.52,0.94,0.02,0.24,2.72
17512,0,0,0.1,0,0.1
13316,0.12,0.09,0,0.03,0.25
13779,0.07,0.01,0,0.01,0.09
11597,0,0.07,0,0,0.08
3724,0.27,0.02,0,0.03,0.32
9729,0.04,0.03,0,0.01,0.08
6473,0.04,0,0,0,0.05
14215,0.11,0.01,0,0.01,0.14
17470,0.47,0.4,0,0.08,0.95
3843,0.02,0.02,0,0.01,0.04
10707,0.08,0.02,0,0,0.1
3711,0.14,0.11,0,0.04,0.29
11593,0.1,0.07,0,0.03,0.21
8600,0.08,0.06,0,0.02,0.16
8689,0,0,0.83,0,0.83
10793,0.35,0.13,0,0.01,0.48
8268,0.11,0.03,0,0.01,0.14
5375,0.07,0.02,0,0,0.1
13947,0.09,0.01,0,0.01,0.1
1032,0.08,0.02,0,0.01,0.11
2956,0.38,0.26,0,0.06,0.69
4404,0.07,0.02,0,0,0.09
1576,0.63,0.04,0,0.06,0.73
8796,0.02,0.02,0,0.01,0.04
9293,0.1,0,0,0.01,0.1
14577,0.11,0.03,0,0,0.14
1064,0.39,0,0,0.03,0.42
19862,0.13,0,0,0.01,0.14
12005,0.25,0.49,0.04,0.22,1
17856,0.13,0.09,0,0.02,0.23
7607,0.27,0.01,0.09,0.03,0.4
1761,0.99,0.32,1.38,0.2,2.89
19157,0,0,0.12,0,0.12
5821,0.26,0.29,0.33,0.05,0.94
15162,0,0,0.04,0,0.04
6537,0.29,0.21,0,0.05,0.54
15359,0.02,0,0,0,0.02
9467,0.15,0.11,0,0.04,0.3
14659,0.09,0.07,0,0.02,0.19
19180,5.89,5.04,3.12,0.59,14.64
2210,0.04,0,0,0,0.05
2329,0.28,0.19,0,0.03,0.51
